[INFO] 2025-10-02 09:10:06,511 django.utils.autoreload Watching for file changes with StatReloader
[INFO] 2025-10-02 09:10:56,867 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:57,099 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:57,270 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:57,398 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:57,654 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:57,995 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:58,519 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:58,646 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:58,680 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:58,766 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:10:59,050 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:10:59,593 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:11:00,359 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:11:00,601 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:11:00,857 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:11:01,062 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:11:01,324 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:11:01,364 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:11:01,712 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:11:02,219 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:11:02,712 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:11:02,878 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:11:02,883 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:11:02,930 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:11:03,323 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:11:03,338 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
[INFO] 2025-10-02 09:11:03,797 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:11:04,129 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 94
[INFO] 2025-10-02 09:11:04,489 django.server "GET /dj-rest-auth/user/ HTTP/1.1" 200 88
